player,runs_scored,minutes_batted,balls_faced,boundary_fours,boundary_sixes,runs_from_fours_and_sixes,strike_rate,team,opposition,ground,match_date
AGS Gous,104,-,55,12,5,78,189.09,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
RK Paudel,95,-,59,10,4,64,161.01,Lumbini,v Pokhara,Kirtipur,06 Dec 2024
BKEL Milantha,87,-,49,9,4,60,177.55,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
JDS Neesham,65,-,24,5,6,56,270.83,Janakpur,v Chitwan,Kirtipur,14 Dec 2024
BKEL Milantha,75,-,53,9,3,54,141.50,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
SA Zaib,90,-,61,6,5,54,147.54,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
B Yadav,77,-,54,3,7,54,142.59,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
RK Paudel,80,-,57,6,5,54,140.35,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
Kushal Malla,72,-,41,3,7,54,175.60,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
Lokesh Bam,71,-,47,3,6,48,151.06,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
S Dhawan,72,-,51,4,5,46,141.17,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
SA Zaib,69,-,43,8,2,44,160.46,S Paschim,v Janakpur,Kirtipur,21 Dec 2024
AK Sah,62,-,42,6,3,42,147.61,Janakpur,v Karnali,Kirtipur,02 Dec 2024
DS Airee,57,-,24,3,5,42,237.50,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
Hassan Eisakhil,65,-,52,6,3,42,125.00,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
D Kharel,61,-,46,4,4,40,132.60,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
Basir Ahamad,68,-,44,4,4,40,154.54,Biratnagar,v Chitwan,Kirtipur,13 Dec 2024
SS Eskinazi,60,-,34,10,-,40,176.47,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
WG Bosisto,66,-,49,5,3,38,134.69,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
JDS Neesham,45,-,17,2,5,38,264.70,Janakpur,v Karnali,Kirtipur,19 Dec 2024
B McMullen,53,-,36,3,4,36,147.22,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Gulsan Jha,49,-,37,3,4,36,132.43,Karnali,v Pokhara,Kirtipur,10 Dec 2024
JA Kolsawala,53,-,39,6,2,36,135.89,Karnali,v Chitwan,Kirtipur,18 Dec 2024
RS Bopara,53,-,34,3,4,36,155.88,Chitwan,v Karnali,Kirtipur,18 Dec 2024
MJ Guptill,55,-,43,7,1,34,127.90,Biratnagar,v Janakpur,Kirtipur,30 Nov 2024
RS Bopara,59,-,40,7,1,34,147.50,Chitwan,v Karnali,Kirtipur,06 Dec 2024
CAK Walton,46,-,23,4,3,34,200.00,Karnali,v Chitwan,Kirtipur,18 Dec 2024
BKEL Milantha,45,-,32,8,-,32,140.62,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
RS Bopara,51,-,38,3,3,30,134.21,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
JDS Neesham,40,-,20,-,5,30,200.00,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
CAK Walton,42,-,34,6,1,30,123.52,Karnali,v Pokhara,Kirtipur,10 Dec 2024
WG Bosisto,44,-,30,3,3,30,146.66,Karnali,v Lumbini,Kirtipur,13 Dec 2024
D Kharel,38,-,25,6,1,30,152.00,Pokhara,v Kathmandu,Kirtipur,14 Dec 2024
M Levitt,32,-,18,6,1,30,177.77,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
JDS Neesham,45,-,23,3,3,30,195.65,Janakpur,v S Paschim,Kirtipur,18 Dec 2024
B Bhandari,58,-,55,3,3,30,105.45,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
Kushal Malla,38,-,23,1,4,28,165.21,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
RK Paudel,46,-,29,4,2,28,158.62,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
DS Airee,39,-,19,4,2,28,205.26,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
D Khanal,53,-,48,4,2,28,110.41,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
AK Sah,45,-,39,1,4,28,115.38,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
AGS Gous,39,-,27,7,-,28,144.44,Pokhara,v Biratnagar,Kirtipur,12 Dec 2024
MJ Guptill,45,-,35,1,4,28,128.57,Biratnagar,v Chitwan,Kirtipur,13 Dec 2024
AGS Gous,36,-,21,4,2,28,171.42,Pokhara,v S Paschim,Kirtipur,15 Dec 2024
Aasif Sheikh,33,-,19,4,2,28,173.68,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
SS Eskinazi,37,-,33,5,1,26,112.12,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
RS Bopara,44,-,32,5,1,26,137.50,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
N Joshi,30,-,24,3,2,24,125.00,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
MG Erasmus,38,-,28,3,2,24,135.71,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
MJ Guptill,28,-,17,6,-,24,164.70,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
DS Airee,43,-,25,3,2,24,172.00,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
RA Reifer,34,-,23,3,2,24,147.82,Pokhara,v Biratnagar,Kirtipur,12 Dec 2024
AS Routela,42,-,29,3,2,24,144.82,Chitwan,v Biratnagar,Kirtipur,13 Dec 2024
WG Bosisto,52,-,39,3,2,24,133.33,Karnali,v Chitwan,Kirtipur,18 Dec 2024
SA Zaib,32,-,21,3,2,24,152.38,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
M Levitt,25,-,16,4,1,22,156.25,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
Gulsan Jha,36,-,27,1,3,22,133.33,Karnali,v Janakpur,Kirtipur,02 Dec 2024
TJ Moores,30,-,17,1,3,22,176.47,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
Basir Ahamad,40,-,23,4,1,22,173.91,Biratnagar,v Lumbini,Kirtipur,04 Dec 2024
S Dhawan,45,-,41,4,1,22,109.75,Karnali,v Chitwan,Kirtipur,06 Dec 2024
NR Kirton,40,-,39,4,1,22,102.56,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
I Pandey,35,-,28,4,1,22,125.00,S Paschim,v Chitwan,Kirtipur,08 Dec 2024
Saad Bin Zafar,52,-,35,4,1,22,148.57,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
D Kharel,26,-,19,4,1,22,136.84,Pokhara,v Karnali,Kirtipur,10 Dec 2024
AGS Gous,25,-,12,4,1,22,208.33,Pokhara,v Karnali,Kirtipur,10 Dec 2024
JDS Neesham,27,-,17,1,3,22,158.82,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
TJ Moores,36,-,35,4,1,22,102.85,Lumbini,v Karnali,Kirtipur,13 Dec 2024
RP Magar,33,-,20,1,3,22,165.00,Biratnagar,v Chitwan,Kirtipur,13 Dec 2024
RA Reifer,41,-,30,1,3,22,136.66,Pokhara,v Kathmandu,Kirtipur,14 Dec 2024
MG Erasmus,25,-,10,1,3,22,250.00,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
Hassan Eisakhil,28,-,19,4,1,22,147.36,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
DS Airee,38,-,29,4,1,22,131.03,S Paschim,v Karnali,Kirtipur,16 Dec 2024
B Bhandari,41,-,31,1,3,22,132.25,S Paschim,v Janakpur,Kirtipur,21 Dec 2024
A Gharti,33,-,22,2,2,20,150.00,Karnali,v Janakpur,Kirtipur,02 Dec 2024
Aasif Sheikh,36,-,29,2,2,20,124.13,Janakpur,v Karnali,Kirtipur,02 Dec 2024
BKEL Milantha,24,-,13,2,2,20,184.61,Janakpur,v Karnali,Kirtipur,02 Dec 2024
B McMullen,36,-,26,2,2,20,138.46,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
CAK Walton,21,-,15,5,-,20,140.00,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
Karan KC,28,-,10,2,2,20,280.00,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
B Bhandari,35,-,28,2,2,20,125.00,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
TJ Moores,45,-,38,2,2,20,118.42,Lumbini,v Pokhara,Kirtipur,06 Dec 2024
RS Bopara,36,-,18,2,2,20,200.00,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
Lokesh Bam,26,-,16,2,2,20,162.50,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
SA Edwards,45,-,35,5,-,20,128.57,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
P Shrestha,39,-,34,2,2,20,114.70,Kathmandu,v Biratnagar,Kirtipur,15 Dec 2024
RA Reifer,33,-,28,2,2,20,117.85,Pokhara,v S Paschim,Kirtipur,15 Dec 2024
Sompal Kami,29,-,13,3,1,18,223.07,Karnali,v Janakpur,Kirtipur,02 Dec 2024
S Maharjan,40,-,37,3,1,18,108.10,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
B Yadav,19,-,7,-,3,18,271.42,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
AGS Gous,20,-,16,3,1,18,125.00,Pokhara,v Janakpur,Kirtipur,05 Dec 2024
MJJ Critchley,35,-,30,3,1,18,116.66,Pokhara,v Janakpur,Kirtipur,05 Dec 2024
MA Leask,25,-,13,-,3,18,192.30,Pokhara,v Janakpur,Kirtipur,05 Dec 2024
CAK Walton,30,-,19,-,3,18,157.89,Karnali,v Chitwan,Kirtipur,06 Dec 2024
LM Benkenstein,31,-,29,3,1,18,106.89,Chitwan,v Lumbini,Kirtipur,10 Dec 2024
B Bhandari,33,-,37,3,1,18,89.18,S Paschim,v Janakpur,Kirtipur,11 Dec 2024
S Karki,28,-,25,3,1,18,112.00,Chitwan,v Biratnagar,Kirtipur,13 Dec 2024
K Thagunna,32,-,28,3,1,18,114.28,Pokhara,v S Paschim,Kirtipur,15 Dec 2024
D Khanal,24,-,20,3,1,18,120.00,Karnali,v Janakpur,Kirtipur,19 Dec 2024
LM Benkenstein,22,-,17,1,2,16,129.41,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
B Bhandari,23,-,20,4,-,16,115.00,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
