player,overs,maidens_earned,conceded,wickets,economy_rate,team,opposition,ground,match_date
WG Bosisto,4.0,-,28,6,7.00,Karnali,v Pokhara,Kirtipur,10 Dec 2024
SC Kuggeleijn,3.4,1,18,5,4.90,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
N Saud,3.5,-,19,5,4.95,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Sohail Tanvir,4.0,-,21,5,5.25,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
H Thaker,4.0,-,23,5,5.75,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
Karan KC,4.0,-,16,4,4.00,Kathmandu,v Lumbini,Kirtipur,11 Dec 2024
Pratis GC,4.0,1,17,4,4.25,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
RK Paudel,4.0,-,17,4,4.25,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
Pratis GC,4.0,-,18,4,4.50,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
K Mahato,4.0,-,35,4,8.75,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
Sohail Tanvir,3.0,1,6,3,2.00,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
D Kandel,4.0,-,6,3,1.50,Kathmandu,v Lumbini,Kirtipur,11 Dec 2024
LN Rajbanshi,4.0,2,8,3,2.00,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
R Dhakal,3.0,1,10,3,3.33,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
S Malla,3.3,-,11,3,3.14,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
B Aagri,2.0,-,14,3,7.00,Lumbini,v Karnali,Kirtipur,13 Dec 2024
A Bohara,3.0,-,17,3,5.66,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
MG Erasmus,4.0,-,17,3,4.25,Kathmandu,v Biratnagar,Kirtipur,15 Dec 2024
Harmeet Singh,4.0,-,17,3,4.25,S Paschim,v Karnali,Kirtipur,16 Dec 2024
BP Sharma,4.0,-,17,3,4.25,Karnali,v Janakpur,Kirtipur,19 Dec 2024
NK Yadav,4.0,-,19,3,4.75,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
Bipin Khatri,3.0,-,19,3,6.33,Pokhara,v Kathmandu,Kirtipur,14 Dec 2024
S Lamichhane,4.0,-,19,3,4.75,Biratnagar,v Kathmandu,Kirtipur,15 Dec 2024
Shahab Alam,4.0,-,20,3,5.00,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
Abhishesh Gautam,4.0,-,20,3,5.00,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
D Gupta,4.0,-,21,3,5.25,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
BP Sharma,4.0,-,21,3,5.25,Karnali,v Chitwan,Kirtipur,06 Dec 2024
B McMullen,4.0,-,21,3,5.25,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
Saad Bin Zafar,4.0,-,21,3,5.25,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
Karan KC,4.0,-,24,3,6.00,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
K Mahato,3.0,-,25,3,8.33,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
A Kharel,4.0,-,26,3,6.50,Biratnagar,v S Paschim,Kirtipur,03 Dec 2024
Harmeet Singh,4.0,-,26,3,6.50,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
Zeeshan Maqsood,4.0,-,26,3,6.50,Karnali,v Chitwan,Kirtipur,18 Dec 2024
LN Rajbanshi,4.0,-,28,3,7.00,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
R Dhakal,4.0,-,29,3,7.25,Chitwan,v Lumbini,Kirtipur,10 Dec 2024
DS Airee,4.0,-,29,3,7.25,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
SC Kuggeleijn,4.0,-,30,3,7.50,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
LN Rajbanshi,4.0,-,31,3,7.75,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
SA Zaib,4.0,-,33,3,8.25,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
LM Benkenstein,4.0,-,37,3,9.25,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
Mohammad Mohsin,4.0,-,40,3,10.00,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
Rashid Khan,4.0,-,43,3,10.75,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
Harmeet Singh,4.0,2,2,2,0.50,S Paschim,v Janakpur,Kirtipur,11 Dec 2024
AS Routela,1.0,-,9,2,9.00,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
Karan KC,3.0,-,10,2,3.33,Kathmandu,v Janakpur,Kirtipur,12 Dec 2024
Saad Bin Zafar,3.0,-,11,2,3.66,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
I Pandey,2.0,-,11,2,5.50,S Paschim,v Janakpur,Kirtipur,11 Dec 2024
LN Rajbanshi,4.0,2,11,2,2.75,Janakpur,v Chitwan,Kirtipur,14 Dec 2024
A Bohara,3.0,1,12,2,4.00,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Zeeshan Maqsood,3.0,-,12,2,4.00,Karnali,v Lumbini,Kirtipur,13 Dec 2024
Mohammad Mohsin,4.0,-,14,2,3.50,Janakpur,v Karnali,Kirtipur,02 Dec 2024
Mohammad Mohsin,4.0,1,14,2,3.50,Janakpur,v Karnali,Kirtipur,19 Dec 2024
S Dhakal,4.0,-,15,2,3.75,Pokhara,v Biratnagar,Kirtipur,12 Dec 2024
A Yadav,3.0,-,16,2,5.33,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
Abhishesh Gautam,4.0,-,16,2,4.00,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
D Kandel,4.0,-,16,2,4.00,Kathmandu,v Biratnagar,Kirtipur,15 Dec 2024
K Mahato,3.0,-,18,2,6.00,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
Bipin Khatri,3.0,-,18,2,6.00,Pokhara,v Lumbini,Kirtipur,06 Dec 2024
JN Loftie-Eaton,3.0,-,18,2,6.00,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
Kushal Malla,4.0,-,18,2,4.50,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
SC Kuggeleijn,4.0,-,19,2,4.75,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
S Malla,4.0,-,19,2,4.75,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
MG Erasmus,4.0,-,19,2,4.75,Kathmandu,v Lumbini,Kirtipur,11 Dec 2024
R Dhakal,3.0,-,19,2,6.33,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
BFW de Leede,4.0,-,20,2,5.00,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
Rashid Khan,4.0,-,20,2,5.00,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
BP Sharma,4.0,1,20,2,5.00,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
Mohammad Mohsin,4.0,-,20,2,5.00,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
DS Airee,4.0,-,20,2,5.00,S Paschim,v Karnali,Kirtipur,16 Dec 2024
SA Zaib,3.0,-,20,2,6.66,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
RR Simmonds,3.2,-,21,2,6.30,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
CB Sole,4.0,-,21,2,5.25,Biratnagar,v Kathmandu,Kirtipur,15 Dec 2024
H Thaker,4.0,-,22,2,5.50,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
Zeeshan Maqsood,4.0,-,22,2,5.50,Karnali,v Chitwan,Kirtipur,06 Dec 2024
Basir Ahamad,4.0,-,22,2,5.50,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
RK Paudel,4.0,-,22,2,5.50,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
RR Simmonds,4.0,-,22,2,5.50,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
Sompal Kami,3.0,-,22,2,7.33,Karnali,v Chitwan,Kirtipur,18 Dec 2024
LN Rajbanshi,4.0,-,22,2,5.50,Janakpur,v Karnali,Kirtipur,19 Dec 2024
TR Bhandari,4.0,-,23,2,5.75,Lumbini,v Karnali,Kirtipur,13 Dec 2024
Sohail Tanvir,4.0,-,23,2,5.75,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
Sohail Tanvir,4.0,-,24,2,6.00,Chitwan,v Karnali,Kirtipur,18 Dec 2024
CB Sole,4.0,-,25,2,6.25,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
Kushal Malla,4.0,-,26,2,6.50,Chitwan,v Janakpur,Kirtipur,14 Dec 2024
DS Airee,3.0,-,27,2,9.00,S Paschim,v Janakpur,Kirtipur,11 Dec 2024
Basir Ahamad,4.0,-,27,2,6.75,Biratnagar,v Kathmandu,Kirtipur,15 Dec 2024
K Bhurtel,4.0,-,27,2,6.75,Pokhara,v S Paschim,Kirtipur,15 Dec 2024
Bipin Khatri,3.0,-,28,2,9.33,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
S Lamichhane,4.0,-,28,2,7.00,Biratnagar,v Chitwan,Kirtipur,13 Dec 2024
A Kharel,4.0,-,28,2,7.00,Biratnagar,v Kathmandu,Kirtipur,15 Dec 2024
NK Yadav,3.0,-,28,2,9.33,Karnali,v Chitwan,Kirtipur,18 Dec 2024
MG Erasmus,4.0,-,29,2,7.25,Kathmandu,v Karnali,Kirtipur,04 Dec 2024
JDS Neesham,4.0,-,29,2,7.25,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
SC Kuggeleijn,4.0,-,29,2,7.25,S Paschim,v Chitwan,Kirtipur,08 Dec 2024
SC Kuggeleijn,4.0,-,29,2,7.25,S Paschim,v Karnali,Kirtipur,16 Dec 2024
CB Sole,4.0,-,30,2,7.50,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
JDS Neesham,4.0,-,30,2,7.50,Janakpur,v Karnali,Kirtipur,19 Dec 2024
RR Simmonds,4.0,-,32,2,8.00,Lumbini,v S Paschim,Kirtipur,07 Dec 2024
RR Simmonds,4.0,-,33,2,8.25,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
