player,overs,maidens_earned,runs conceded,wickets taken,economy_rate,team,opposition,ground,match_date
SC Kuggeleijn,0.1,-,-,1,-,S Paschim,v Janakpur,Kirtipur,11 Dec 2024
Harmeet Singh,4.0,2,2,2,0.50,S Paschim,v Janakpur,Kirtipur,11 Dec 2024
D Kandel,4.0,-,6,3,1.50,Kathmandu,v Lumbini,Kirtipur,11 Dec 2024
LN Rajbanshi,4.0,2,8,3,2.00,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
Sohail Tanvir,3.0,1,6,3,2.00,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
SA Zaib,1.0,-,2,1,2.00,S Paschim,v Janakpur,Kirtipur,11 Dec 2024
Shahab Alam,4.0,-,10,-,2.50,Kathmandu,v Lumbini,Kirtipur,11 Dec 2024
N Saud,2.0,-,5,1,2.50,S Paschim,v Janakpur,Kirtipur,11 Dec 2024
B McMullen,3.0,1,8,1,2.66,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
Zeeshan Maqsood,4.0,-,11,-,2.75,Karnali,v Pokhara,Kirtipur,10 Dec 2024
Abhishesh Gautam,4.0,-,11,-,2.75,Lumbini,v Karnali,Kirtipur,13 Dec 2024
LN Rajbanshi,4.0,2,11,2,2.75,Janakpur,v Chitwan,Kirtipur,14 Dec 2024
H Thaker,3.0,1,9,1,3.00,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
RK Paudel,2.0,-,6,1,3.00,Lumbini,v Karnali,Kirtipur,13 Dec 2024
B McMullen,2.0,-,6,-,3.00,S Paschim,v Karnali,Kirtipur,16 Dec 2024
Rashid Khan,1.0,-,3,-,3.00,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
S Malla,3.3,-,11,3,3.14,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
Kushal Malla,4.0,-,13,1,3.25,Chitwan,v Karnali,Kirtipur,06 Dec 2024
LN Rajbanshi,4.0,-,13,1,3.25,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
Harmeet Singh,4.0,-,13,-,3.25,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
H Thaker,4.0,-,13,1,3.25,Janakpur,v Karnali,Kirtipur,19 Dec 2024
R Dhakal,3.0,1,10,3,3.33,Chitwan,v Pokhara,Kirtipur,03 Dec 2024
Karan KC,3.0,-,10,2,3.33,Kathmandu,v Janakpur,Kirtipur,12 Dec 2024
Mohammad Mohsin,4.0,-,14,2,3.50,Janakpur,v Karnali,Kirtipur,02 Dec 2024
MG Erasmus,4.0,-,14,1,3.50,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
Zeeshan Maqsood,4.0,-,14,-,3.50,Karnali,v S Paschim,Kirtipur,16 Dec 2024
SA Zaib,4.0,-,14,1,3.50,S Paschim,v Karnali,Kirtipur,16 Dec 2024
Mohammad Mohsin,4.0,1,14,2,3.50,Janakpur,v Karnali,Kirtipur,19 Dec 2024
RA Reifer,2.0,-,7,-,3.50,Pokhara,v Karnali,Kirtipur,10 Dec 2024
Saad Bin Zafar,3.0,-,11,2,3.66,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
S Dhakal,4.0,-,15,2,3.75,Pokhara,v Biratnagar,Kirtipur,12 Dec 2024
Basil Hameed,4.0,-,15,1,3.75,Chitwan,v Biratnagar,Kirtipur,13 Dec 2024
LN Rajbanshi,4.0,1,15,1,3.75,Janakpur,v S Paschim,Kirtipur,21 Dec 2024
LN Rajbanshi,4.0,-,16,1,4.00,Janakpur,v Karnali,Kirtipur,02 Dec 2024
Karan KC,4.0,-,16,4,4.00,Kathmandu,v Lumbini,Kirtipur,11 Dec 2024
Abhishesh Gautam,4.0,-,16,2,4.00,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
D Kandel,4.0,-,16,2,4.00,Kathmandu,v Biratnagar,Kirtipur,15 Dec 2024
A Bohara,3.0,1,12,2,4.00,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Bipin Khatri,3.0,1,12,1,4.00,Pokhara,v Karnali,Kirtipur,10 Dec 2024
Zeeshan Maqsood,3.0,-,12,2,4.00,Karnali,v Lumbini,Kirtipur,13 Dec 2024
RS Bopara,2.0,-,8,1,4.00,Chitwan,v Karnali,Kirtipur,18 Dec 2024
I Pandey,1.0,-,4,1,4.00,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
B Sharki,1.0,-,4,-,4.00,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
S Malla,1.0,-,4,1,4.00,Janakpur,v Karnali,Kirtipur,19 Dec 2024
MA Leask,4.0,-,17,1,4.25,Pokhara,v Janakpur,Kirtipur,05 Dec 2024
Mohammad Mohsin,4.0,1,17,1,4.25,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
Pratis GC,4.0,1,17,4,4.25,Biratnagar,v Karnali,Kirtipur,07 Dec 2024
RK Paudel,4.0,-,17,4,4.25,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
UBS Thakuri,4.0,-,17,1,4.25,Karnali,v Pokhara,Kirtipur,10 Dec 2024
MG Erasmus,4.0,-,17,3,4.25,Kathmandu,v Biratnagar,Kirtipur,15 Dec 2024
Harmeet Singh,4.0,-,17,3,4.25,S Paschim,v Karnali,Kirtipur,16 Dec 2024
BP Sharma,4.0,-,17,3,4.25,Karnali,v Janakpur,Kirtipur,19 Dec 2024
M Levitt,3.0,-,13,1,4.33,Kathmandu,v Pokhara,Kirtipur,14 Dec 2024
BP Sharma,4.0,-,18,1,4.50,Karnali,v Kathmandu,Kirtipur,04 Dec 2024
Sohail Tanvir,4.0,-,18,-,4.50,Chitwan,v Karnali,Kirtipur,06 Dec 2024
Mohammad Mohsin,4.0,-,18,-,4.50,Janakpur,v Lumbini,Kirtipur,08 Dec 2024
Kushal Malla,4.0,-,18,2,4.50,Chitwan,v S Paschim,Kirtipur,08 Dec 2024
Surya Tamang,4.0,-,18,1,4.50,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
Pratis GC,4.0,-,18,4,4.50,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
DS Airee,4.0,-,18,-,4.50,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
AS Routela,2.0,-,9,1,4.50,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
DS Airee,2.0,-,9,-,4.50,S Paschim,v Biratnagar,Kirtipur,03 Dec 2024
MG Erasmus,2.0,-,9,1,4.50,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
B Yadav,2.0,-,9,1,4.50,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
A Bohara,2.0,-,9,1,4.50,S Paschim,v Janakpur,Kirtipur,18 Dec 2024
LM Benkenstein,3.0,-,14,1,4.66,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
H Thaker,3.0,-,14,-,4.66,Janakpur,v Pokhara,Kirtipur,05 Dec 2024
K Mahato,3.0,1,14,1,4.66,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
K Mahato,3.0,-,14,1,4.66,Janakpur,v S Paschim,Kirtipur,18 Dec 2024
SA Zaib,3.0,-,14,1,4.66,S Paschim,v Janakpur,Kirtipur,21 Dec 2024
SC Kuggeleijn,4.0,-,19,2,4.75,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
NK Yadav,4.0,-,19,3,4.75,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
S Malla,4.0,-,19,2,4.75,Janakpur,v S Paschim,Kirtipur,11 Dec 2024
MG Erasmus,4.0,-,19,2,4.75,Kathmandu,v Lumbini,Kirtipur,11 Dec 2024
MA Leask,4.0,-,19,-,4.75,Pokhara,v Biratnagar,Kirtipur,12 Dec 2024
Basir Ahamad,4.0,1,19,1,4.75,Biratnagar,v Chitwan,Kirtipur,13 Dec 2024
S Lamichhane,4.0,-,19,3,4.75,Biratnagar,v Kathmandu,Kirtipur,15 Dec 2024
Zeeshan Maqsood,4.0,-,19,1,4.75,Karnali,v Janakpur,Kirtipur,19 Dec 2024
SC Kuggeleijn,3.4,1,18,5,4.90,S Paschim,v Pokhara,Kirtipur,15 Dec 2024
N Saud,3.5,-,19,5,4.95,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Mohammad Mohsin,4.0,-,20,1,5.00,Janakpur,v Biratnagar,Kirtipur,30 Nov 2024
Shahab Alam,4.0,-,20,3,5.00,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
BFW de Leede,4.0,-,20,2,5.00,Pokhara,v Chitwan,Kirtipur,03 Dec 2024
S Dhakal,4.0,-,20,-,5.00,Pokhara,v Janakpur,Kirtipur,05 Dec 2024
Rashid Khan,4.0,-,20,2,5.00,Kathmandu,v S Paschim,Kirtipur,05 Dec 2024
BP Sharma,4.0,1,20,2,5.00,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
Abhishesh Gautam,4.0,-,20,3,5.00,Lumbini,v Janakpur,Kirtipur,08 Dec 2024
Mohammad Mohsin,4.0,-,20,2,5.00,Janakpur,v Kathmandu,Kirtipur,12 Dec 2024
DS Airee,4.0,-,20,2,5.00,S Paschim,v Karnali,Kirtipur,16 Dec 2024
DA Douthwaite,3.0,-,15,1,5.00,Kathmandu,v Chitwan,Kirtipur,02 Dec 2024
SC Kuggeleijn,2.0,-,10,-,5.00,S Paschim,v Kathmandu,Kirtipur,05 Dec 2024
Sohail Tanvir,4.0,-,21,5,5.25,Chitwan,v Kathmandu,Kirtipur,02 Dec 2024
D Gupta,4.0,-,21,3,5.25,Lumbini,v Biratnagar,Kirtipur,04 Dec 2024
BP Sharma,4.0,-,21,3,5.25,Karnali,v Chitwan,Kirtipur,06 Dec 2024
B McMullen,4.0,-,21,3,5.25,S Paschim,v Lumbini,Kirtipur,07 Dec 2024
WG Bosisto,4.0,-,21,1,5.25,Karnali,v Biratnagar,Kirtipur,07 Dec 2024
Saad Bin Zafar,4.0,-,21,1,5.25,Lumbini,v Chitwan,Kirtipur,10 Dec 2024
Saad Bin Zafar,4.0,-,21,3,5.25,Lumbini,v Kathmandu,Kirtipur,11 Dec 2024
S Lamichhane,4.0,-,21,-,5.25,Biratnagar,v Pokhara,Kirtipur,12 Dec 2024
MG Erasmus,4.0,-,21,1,5.25,Kathmandu,v Janakpur,Kirtipur,12 Dec 2024
