player,span,matches_played,innings_bowled,balls,overs,maidens_earned,runs,wickets,best_innings_bowling,bowling_average,economy_rate,bowling_strike_rate,four_wickets,five_wickets,ten_wickets
Lokesh Bam (BIK),2024-2024,7,1,6,1.0,-,8,1,1/8,8.00,8.00,6.00,-,-,-
B Khatri (SPR),2024-2024,2,1,6,1.0,-,12,-,-,-,12.00,-,-,-,-
Rohan Mustafa (SPR),2024-2024,1,1,6,1.0,-,8,-,-,-,8.00,-,-,-,-
AP Gomel (POA),2024-2024,1,1,6,1.0,-,13,-,-,-,13.00,-,-,-,-
D Kharel (POA),2024-2024,7,2,7,1.1,-,15,1,1/9,15.00,12.85,7.00,-,-,-
Deepak Bohara (CHR),2024-2024,6,1,8,1.2,-,9,1,1/9,9.00,6.75,8.00,-,-,-
RP Magar (BIK),2024-2024,5,1,12,2.0,-,22,1,1/22,22.00,11.00,12.00,-,-,-
JK Mukhiya (BIK),2024-2024,1,1,12,2.0,-,12,-,-,-,6.00,-,-,-,-
TB Thapa (JAB),2024-2024,3,2,12,2.0,-,19,-,-,-,9.50,-,-,-,-
D Khanal (KAY),2024-2024,9,1,12,2.0,-,22,-,-,-,11.00,-,-,-,-
N Joshi (POA),2024-2024,6,2,12,2.0,-,31,-,-,-,15.50,-,-,-,-
D Adhikari (LUL),2024-2024,2,2,12,2.0,-,31,-,-,-,15.50,-,-,-,-
NB Sarki (CHR),2024-2024,1,1,12,2.0,-,18,-,-,-,9.00,-,-,-,-
B Aagri (LUL),2024-2024,1,1,12,2.0,-,14,3,3/14,4.66,7.00,4.00,-,-,-
S Aryal (POA),2024-2024,1,1,12,2.0,-,19,-,-,-,9.50,-,-,-,-
SM Dhakal (KAY),2024-2024,1,1,13,2.1,-,25,1,1/25,25.00,11.53,13.00,-,-,-
BWM Mike (JAB),2024-2024,1,1,18,3.0,-,29,1,1/29,29.00,9.66,18.00,-,-,-
S Jora (LUL),2024-2024,7,2,18,3.0,-,22,1,1/13,22.00,7.33,18.00,-,-,-
NR Kirton (BIK),2024-2024,7,3,21,3.3,-,29,-,-,-,8.28,-,-,-,-
BFW de Leede (POA),2024-2024,1,1,24,4.0,-,20,2,2/20,10.00,5.00,12.00,-,-,-
TR Bhandari (LUL),2024-2024,1,1,24,4.0,-,23,2,2/23,11.50,5.75,12.00,-,-,-
Subash Bhandari (BIK),2024-2024,3,2,25,4.1,-,31,1,1/27,31.00,7.44,25.00,-,-,-
B Karki (KAY),2024-2024,2,2,30,5.0,-,39,-,-,-,7.80,-,-,-,-
B Sharki (KAG),2024-2024,7,3,30,5.0,-,30,-,-,-,6.00,-,-,-,-
S Vesawkar (CHR),2024-2024,4,2,36,6.0,-,53,1,1/37,53.00,8.83,36.00,-,-,-
M Levitt (KAG),2024-2024,7,2,36,6.0,-,45,1,1/13,45.00,7.50,36.00,-,-,-
Basil Hameed (CHR),2024-2024,2,2,36,6.0,-,53,1,1/15,53.00,8.83,36.00,-,-,-
DA Douthwaite (KAG),2024-2024,4,3,41,6.5,-,50,2,1/14,25.00,7.31,20.50,-,-,-
Aqib Ilyas (BIK),2024-2024,2,2,42,7.0,-,50,1,1/31,50.00,7.14,42.00,-,-,-
I Pandey (SPR),2024-2024,9,5,42,7.0,-,52,4,2/11,13.00,7.42,10.50,-,-,-
Ismat Alam (BIK),2024-2024,3,3,42,7.0,-,72,2,1/21,36.00,10.28,21.00,-,-,-
Aakash Chand (POA),2024-2024,4,3,42,7.0,-,74,-,-,-,10.57,-,-,-,-
A Yadav (JAB),2024-2024,5,3,48,8.0,-,69,3,2/16,23.00,8.62,16.00,-,-,-
Gulsan Jha (KAY),2024-2024,9,4,48,8.0,-,63,1,1/31,63.00,7.87,48.00,-,-,-
LM Benkenstein (CHR),2024-2024,5,3,48,8.0,-,68,4,3/37,17.00,8.50,12.00,-,-,-
JN Loftie-Eaton (CHR),2024-2024,3,3,48,8.0,-,56,3,2/18,18.66,7.00,16.00,-,-,-
RS Bopara (CHR),2024-2024,8,4,54,9.0,-,58,2,1/8,29.00,6.44,27.00,-,-,-
AS Routela (CHR),2024-2024,8,5,54,9.0,-,70,4,2/9,17.50,7.77,13.50,-,-,-
MJJ Critchley (POA),2024-2024,4,4,54,9.0,-,96,1,1/29,96.00,10.66,54.00,-,-,-
NA Sowter (KAG),2024-2024,3,3,54,9.0,-,86,1,1/32,86.00,9.55,54.00,-,-,-
UBS Thakuri (KAY),2024-2024,5,5,54,9.0,-,64,2,1/17,32.00,7.11,27.00,-,-,-
D Gupta (LUL),2024-2024,5,4,66,11.0,-,104,3,3/21,34.66,9.45,22.00,-,-,-
A Kharel (BIK),2024-2024,5,5,84,14.0,-,123,5,3/26,24.60,8.78,16.80,-,-,-
R Kumar (CHR),2024-2024,5,5,84,14.0,-,120,2,1/26,60.00,8.57,42.00,-,-,-
K Bhurtel (POA),2024-2024,7,6,85,14.1,-,113,5,2/27,22.60,7.97,17.00,-,-,-
N Saud (SPR),2024-2024,8,7,85,14.1,-,97,6,5/19,16.16,6.84,14.16,-,1,-
Surya Tamang (LUL),2024-2024,4,4,89,14.5,-,111,1,1/18,111.00,7.48,89.00,-,-,-
B Yadav (LUL),2024-2024,6,6,89,14.5,-,171,3,1/9,57.00,11.52,29.66,-,-,-
D Kandel (KAG),2024-2024,6,5,96,16.0,-,87,7,3/6,12.42,5.43,13.71,-,-,-
Abhishesh Gautam (LUL),2024-2024,4,4,96,16.0,-,78,6,3/20,13.00,4.87,16.00,-,-,-
Rashid Khan (KAG),2024-2024,7,6,104,17.2,-,136,6,3/43,22.66,7.84,17.33,-,-,-
Bipin Khatri (POA),2024-2024,7,7,108,18.0,1,133,9,3/19,14.77,7.38,12.00,-,-,-
Pratis GC (BIK),2024-2024,6,6,114,19.0,1,127,9,4/17,14.11,6.68,12.66,2,-,-
Basir Ahamad (BIK),2024-2024,7,6,114,19.0,1,123,6,2/22,20.50,6.47,19.00,-,-,-
B McMullen (SPR),2024-2024,9,8,114,19.0,1,129,6,3/21,21.50,6.78,19.00,-,-,-
RK Paudel (LUL),2024-2024,7,6,114,19.0,-,107,8,4/17,13.37,5.63,14.25,1,-,-
S Malla (JAB),2024-2024,8,7,117,19.3,-,132,7,3/11,18.85,6.76,16.71,-,-,-
Harmeet Singh (SPR),2024-2024,5,5,120,20.0,2,90,8,3/17,11.25,4.50,15.00,-,-,-
RA Reifer (POA),2024-2024,7,7,126,21.0,-,164,5,2/33,32.80,7.80,25.20,-,-,-
MA Leask (POA),2024-2024,7,7,132,22.0,1,156,3,1/17,52.00,7.09,44.00,-,-,-
Shahab Alam (KAG),2024-2024,7,7,138,23.0,-,125,6,3/20,20.83,5.43,23.00,-,-,-
A Bohara (SPR),2024-2024,9,8,138,23.0,1,173,7,3/17,24.71,7.52,19.71,-,-,-
NK Yadav (KAY),2024-2024,9,8,141,23.3,1,177,9,3/19,19.66,7.53,15.66,-,-,-
Karan KC (KAG),2024-2024,7,7,143,23.5,-,152,12,4/16,12.66,6.37,11.91,1,-,-
WG Bosisto (KAY),2024-2024,7,7,144,24.0,1,164,9,6/28,18.22,6.83,16.00,-,1,-
SA Zaib (SPR),2024-2024,9,9,145,24.1,-,151,12,3/33,12.58,6.24,12.08,-,-,-
RR Simmonds (LUL),2024-2024,7,7,146,24.2,-,194,9,2/21,21.55,7.97,16.22,-,-,-
DS Airee (SPR),2024-2024,9,7,150,25.0,-,175,9,3/29,19.44,7.00,16.66,-,-,-
S Dhakal (POA),2024-2024,7,7,150,25.0,-,164,5,2/15,32.80,6.56,30.00,-,-,-
Saad Bin Zafar (LUL),2024-2024,7,7,150,25.0,-,171,9,3/21,19.00,6.84,16.66,-,-,-
MG Erasmus (KAG),2024-2024,7,7,151,25.1,-,131,11,3/17,11.90,5.20,13.72,-,-,-
JDS Neesham (JAB),2024-2024,9,9,156,26.0,-,233,7,2/29,33.28,8.96,22.28,-,-,-
CB Sole (BIK),2024-2024,7,7,162,27.0,-,200,9,2/21,22.22,7.40,18.00,-,-,-
Kushal Malla (CHR),2024-2024,8,8,162,27.0,-,176,9,2/18,19.55,6.51,18.00,-,-,-
S Lamichhane (BIK),2024-2024,7,7,168,28.0,-,191,6,3/19,31.83,6.82,28.00,-,-,-
R Dhakal (CHR),2024-2024,8,8,173,28.5,1,232,13,3/10,17.84,8.04,13.30,-,-,-
SC Kuggeleijn (SPR),2024-2024,9,9,173,28.5,1,210,17,5/18,12.35,7.28,10.17,-,1,-
BP Sharma (KAY),2024-2024,8,8,174,29.0,2,171,13,3/17,13.15,5.89,13.38,-,-,-
Sompal Kami (KAY),2024-2024,9,9,179,29.5,1,240,9,2/22,26.66,8.04,19.88,-,-,-
Sohail Tanvir (CHR),2024-2024,8,8,182,30.2,1,174,14,5/21,12.42,5.73,13.00,-,1,-
H Thaker (JAB),2024-2024,10,9,186,31.0,2,197,11,5/23,17.90,6.35,16.90,-,1,-
K Mahato (JAB),2024-2024,10,10,198,33.0,1,265,14,4/35,18.92,8.03,14.14,1,-,-
Zeeshan Maqsood (KAY),2024-2024,9,9,198,33.0,-,177,10,3/26,17.70,5.36,19.80,-,-,-
Mohammad Mohsin (JAB),2024-2024,9,9,207,34.3,2,200,12,3/40,16.66,5.79,17.25,-,-,-
LN Rajbanshi (JAB),2024-2024,10,10,240,40.0,5,213,17,3/8,12.52,5.32,14.11,-,-,-
