partners,runs,wickets,team,opposition,ground,match_date
"D Kharel, AGS Gous",176,1st,Pokhara,v Lumbini,Kirtipur,6-Dec-24
"SA Zaib, B Bhandari",117,1st,S Paschim,v Janakpur,Kirtipur,21-Dec-24
"H Thaker, BKEL Milantha",116,3rd,Janakpur,v Biratnagar,Kirtipur,30-Nov-24
"Saad Bin Zafar, RK Paudel",114,5th,Lumbini,v Chitwan,Kirtipur,10-Dec-24
"Kushal Malla, RS Bopara",113,4th,Chitwan,v Janakpur,Kirtipur,14-Dec-24
"RK Paudel, TJ Moores",110,4th,Lumbini,v Pokhara,Kirtipur,6-Dec-24
"D Khanal, WG Bosisto",102,3rd,Karnali,v Biratnagar,Kirtipur,7-Dec-24
"B McMullen, B Bhandari",86,2nd,S Paschim,v Kathmandu,Kirtipur,5-Dec-24
"AK Sah, Aasif Sheikh",84,1st,Janakpur,v Karnali,Kirtipur,2-Dec-24
"RP Magar, Basir Ahamad",83,6th,Biratnagar,v Chitwan,Kirtipur,13-Dec-24
"Lokesh Bam, Basir Ahamad",77,5th,Biratnagar,v Lumbini,Kirtipur,4-Dec-24
"BKEL Milantha, Aasif Sheikh",73,1st,Janakpur,v S Paschim,Kirtipur,21-Dec-24
"BKEL Milantha, Aasif Sheikh",72,2nd,Janakpur,v Pokhara,Kirtipur,5-Dec-24
"A Gharti, WG Bosisto",72,5th,Karnali,v Lumbini,Kirtipur,13-Dec-24
"K Thagunna, RA Reifer",70,6th,Pokhara,v S Paschim,Kirtipur,15-Dec-24
"Kushal Malla, RS Bopara",68,4th,Chitwan,v Pokhara,Kirtipur,3-Dec-24
"RK Paudel, TJ Moores",67,3rd,Lumbini,v Biratnagar,Kirtipur,4-Dec-24
"I Pandey, DS Airee",67,4th,S Paschim,v Karnali,Kirtipur,16-Dec-24
"CAK Walton, WG Bosisto",67,5th,Karnali,v Chitwan,Kirtipur,18-Dec-24
"Zeeshan Maqsood, S Dhawan",65,6th,Karnali,v Kathmandu,Kirtipur,4-Dec-24
"MJ Guptill, Basir Ahamad",65,5th,Biratnagar,v Chitwan,Kirtipur,13-Dec-24
"Lokesh Bam, MJ Guptill",62,2nd,Biratnagar,v Lumbini,Kirtipur,4-Dec-24
"H Thaker, BKEL Milantha",61,3rd,Janakpur,v S Paschim,Kirtipur,21-Dec-24
"Kushal Malla, RS Bopara",60,4th,Chitwan,v Karnali,Kirtipur,6-Dec-24
"CAK Walton, Gulsan Jha",60,3rd,Karnali,v Pokhara,Kirtipur,10-Dec-24
"JDS Neesham, Mohammad Mohsin",60,6th,Janakpur,v Chitwan,Kirtipur,14-Dec-24
"JA Kolsawala, WG Bosisto",59,3rd,Karnali,v Chitwan,Kirtipur,18-Dec-24
"B McMullen, B Bhandari",59,2nd,S Paschim,v Janakpur,Kirtipur,18-Dec-24
"M Levitt, SS Eskinazi",58,1st,Kathmandu,v Pokhara,Kirtipur,14-Dec-24
"S Maharjan, MG Erasmus",57,5th,Kathmandu,v Karnali,Kirtipur,4-Dec-24
"SA Zaib, B McMullen",57,2nd,S Paschim,v Lumbini,Kirtipur,7-Dec-24
"B Sharki, SS Eskinazi",57,2nd,Kathmandu,v Pokhara,Kirtipur,14-Dec-24
"Sompal Kami, A Gharti",56,7th,Karnali,v Janakpur,Kirtipur,2-Dec-24
"SA Zaib, B Bhandari",56,1st,S Paschim,v Janakpur,Kirtipur,18-Dec-24
"SA Zaib, B Bhandari",55,1st,S Paschim,v Janakpur,Kirtipur,11-Dec-24
"D Khanal, S Dhawan",53,1st,Karnali,v Chitwan,Kirtipur,6-Dec-24
"SA Zaib, DS Airee",53,3rd,S Paschim,v Lumbini,Kirtipur,7-Dec-24
"H Thaker, JDS Neesham",51,4th,Janakpur,v Pokhara,Kirtipur,5-Dec-24
"CAK Walton, S Dhawan",51,2nd,Karnali,v Chitwan,Kirtipur,6-Dec-24
"TJ Moores, S Jora",51,4th,Lumbini,v Karnali,Kirtipur,13-Dec-24
"B Rawal, Hassan Eisakhil",50,2nd,Chitwan,v S Paschim,Kirtipur,8-Dec-24
"I Pandey, DS Airee",49,6th,S Paschim,v Biratnagar,Kirtipur,3-Dec-24
"SA Zaib, B Bhandari",49,1st,S Paschim,v Lumbini,Kirtipur,7-Dec-24
"AK Sah, Aasif Sheikh",48,1st,Janakpur,v Lumbini,Kirtipur,8-Dec-24
"MJ Guptill, Aqib Ilyas",47,2nd,Biratnagar,v Janakpur,Kirtipur,30-Nov-24
"AK Sah, BKEL Milantha",47,2nd,Janakpur,v Lumbini,Kirtipur,8-Dec-24
"D Kharel, AGS Gous",47,1st,Pokhara,v Biratnagar,Kirtipur,12-Dec-24
"S Vesawkar, S Karki",46,6th,Chitwan,v Kathmandu,Kirtipur,2-Dec-24
"D Kharel, AGS Gous",46,1st,Pokhara,v Karnali,Kirtipur,10-Dec-24
"S Karki, RS Bopara",46,2nd,Chitwan,v Biratnagar,Kirtipur,13-Dec-24
"S Maharjan, Karan KC",45,6th,Kathmandu,v Karnali,Kirtipur,4-Dec-24
"NR Kirton, D Bohara",44,6th,Biratnagar,v Karnali,Kirtipur,7-Dec-24
"NR Kirton, SA Edwards",43,4th,Biratnagar,v Pokhara,Kirtipur,12-Dec-24
"A Saud, RK Paudel",42,2nd,Lumbini,v Janakpur,Kirtipur,8-Dec-24
"RS Bopara, LM Benkenstein",42,4th,Chitwan,v Lumbini,Kirtipur,10-Dec-24
"B Sharki, DA Douthwaite",42,5th,Kathmandu,v Lumbini,Kirtipur,11-Dec-24
"A Saud, RK Paudel",41,2nd,Lumbini,v Biratnagar,Kirtipur,4-Dec-24
"RK Paudel, TJ Moores",41,3rd,Lumbini,v Janakpur,Kirtipur,8-Dec-24
"AS Routela, Kushal Malla",41,5th,Chitwan,v Biratnagar,Kirtipur,13-Dec-24
"DS Airee, Aarif Sheikh",41,5th,S Paschim,v Pokhara,Kirtipur,15-Dec-24
"SA Edwards, Basir Ahamad",40,5th,Biratnagar,v Pokhara,Kirtipur,12-Dec-24
"NB Sarki, R Dhakal",39,9th,Chitwan,v Lumbini,Kirtipur,10-Dec-24
"Kushal Malla, Hassan Eisakhil",39,3rd,Chitwan,v S Paschim,Kirtipur,8-Dec-24
"Zeeshan Maqsood, WG Bosisto",39,5th,Karnali,v S Paschim,Kirtipur,16-Dec-24
"B Yadav, S Jora",37,6th,Lumbini,v S Paschim,Kirtipur,7-Dec-24
"A Saud, RK Paudel",37,3rd,Lumbini,v Chitwan,Kirtipur,10-Dec-24
"P Shrestha, Rashid Khan",37,6th,Kathmandu,v Biratnagar,Kirtipur,15-Dec-24
"D Kharel, AGS Gous",37,1st,Pokhara,v S Paschim,Kirtipur,15-Dec-24
"Zeeshan Maqsood, D Khanal",37,2nd,Karnali,v Janakpur,Kirtipur,19-Dec-24
"B Yadav, D Adhikari",36,7th,Lumbini,v S Paschim,Kirtipur,7-Dec-24
"D Kharel, K Bhurtel",36,2nd,Pokhara,v Kathmandu,Kirtipur,14-Dec-24
"Kushal Malla, RS Bopara",36,4th,Chitwan,v Karnali,Kirtipur,18-Dec-24
"JDS Neesham, Mayan Yadav",36,6th,Janakpur,v Karnali,Kirtipur,19-Dec-24
"B McMullen, B Bhandari",35,2nd,S Paschim,v Pokhara,Kirtipur,15-Dec-24
"Gulsan Jha, Babar Hayat",33,5th,Karnali,v Janakpur,Kirtipur,2-Dec-24
"AK Sah, BKEL Milantha",33,2nd,Janakpur,v Karnali,Kirtipur,2-Dec-24
"AGS Gous, K Bhurtel",33,2nd,Pokhara,v Biratnagar,Kirtipur,12-Dec-24
"H Thaker, JDS Neesham",33,5th,Janakpur,v Kathmandu,Kirtipur,12-Dec-24
"Gulsan Jha, WG Bosisto",32,4th,Karnali,v Pokhara,Kirtipur,10-Dec-24
"RP Magar, Basir Ahamad",32,4th,Biratnagar,v S Paschim,Kirtipur,3-Dec-24
"D Kharel, AGS Gous",32,1st,Pokhara,v Janakpur,Kirtipur,5-Dec-24
"RA Reifer, MJJ Critchley",32,5th,Pokhara,v Janakpur,Kirtipur,5-Dec-24
"RK Paudel, S Jora",32,3rd,Lumbini,v Pokhara,Kirtipur,6-Dec-24
"B Yadav, Surya Tamang",32,9th,Lumbini,v S Paschim,Kirtipur,7-Dec-24
"Surya Tamang, S Jora",32,8th,Lumbini,v Kathmandu,Kirtipur,11-Dec-24
"RA Reifer, MA Leask",32,6th,Pokhara,v Biratnagar,Kirtipur,12-Dec-24
"Mohammad Mohsin, BKEL Milantha",32,2nd,Janakpur,v S Paschim,Kirtipur,21-Dec-24
"I Pandey, NB Budayair",31,7th,S Paschim,v Chitwan,Kirtipur,8-Dec-24
"N Joshi, MJJ Critchley",30,8th,Pokhara,v Chitwan,Kirtipur,3-Dec-24
"Gulsan Jha, S Dhawan",30,4th,Karnali,v Kathmandu,Kirtipur,4-Dec-24
"S Karki, RS Bopara",30,5th,Chitwan,v Karnali,Kirtipur,18-Dec-24
"S Maharjan, DA Douthwaite",29,7th,Kathmandu,v Chitwan,Kirtipur,2-Dec-24
"S Rana, S Maharjan",29,5th,Kathmandu,v Chitwan,Kirtipur,2-Dec-24
"B Sharki, M Levitt",29,3rd,Kathmandu,v Karnali,Kirtipur,4-Dec-24
"RA Reifer, MA Leask",29,6th,Pokhara,v Janakpur,Kirtipur,5-Dec-24
"SC Kuggeleijn, DS Airee",29,6th,S Paschim,v Kathmandu,Kirtipur,5-Dec-24
"Zeeshan Maqsood, JA Kolsawala",29,2nd,Karnali,v Chitwan,Kirtipur,18-Dec-24
"SC Kuggeleijn, DS Airee",28,5th,S Paschim,v Lumbini,Kirtipur,7-Dec-24
"Kushal Malla, RS Bopara",28,4th,Chitwan,v S Paschim,Kirtipur,8-Dec-24
"Rashid Khan, MG Erasmus",28,5th,Kathmandu,v Janakpur,Kirtipur,12-Dec-24
